year,month,day,Client File Number,Food Provided for,Food Pounds,Clothing Items,Come Again,Number of Visits before,Days Since Last Visit,Avg Food Provided For Before,Avg Food Pounds Before,Avg Clothing Items Before
2014,12,10,7,4,30,15,1,42,35,3.261904761904762,23.571428571428573,13.071428571428571
2015,8,18,7,5,45,9,1,43,253,3.2790697674418605,23.72093023255814,13.116279069767442
2016,8,2,7,5,45,8,1,44,349,3.3181818181818183,24.204545454545453,13.022727272727273
2016,11,10,7,5,45,12,1,45,98,3.3555555555555556,24.666666666666668,12.911111111111111
2018,3,8,7,4,38,9,0,46,488,3.391304347826087,25.108695652173914,12.891304347826088
2008,11,20,9,4,25,5,1,0,0,0,0,0
2013,6,20,9,3,25,19,1,1,1675,4,25,5
2013,7,18,9,3,25,14,1,2,28,3.5,25,12
2013,10,1,9,3,25,10,1,3,73,3.3333333333333335,25,12.666666666666666
2014,3,25,9,2,20,14,1,4,179,3.25,25,12
2014,5,7,9,3,25,15,1,5,42,3,24,12.4
2014,6,5,9,3,25,20,1,6,28,3,24.166666666666668,12.833333333333334
2014,7,17,9,3,25,18,0,7,42,3,24.285714285714285,13.857142857142858
2007,7,26,10,1,10,9,0,0,0,0,0,0
2007,9,10,15,5,30,0,1,0,0,0,0,0
2007,9,11,15,0,0,43,1,1,1,5,30,0
2007,10,11,15,5,30,65,1,2,30,2.5,15,21.5
2007,11,19,15,5,30,0,1,3,38,3.3333333333333335,20,36
2007,11,20,15,0,0,60,1,4,1,3.75,22.5,27
2008,3,13,15,5,30,20,1,5,118,3,18,33.6
2008,4,7,15,5,30,0,1,6,24,3.3333333333333335,20,31.333333333333332
2008,6,5,15,6,40,36,1,7,58,3.5714285714285716,21.428571428571427,26.857142857142858
2008,6,30,15,5,30,25,1,8,25,3.875,23.75,28
2008,8,4,15,5,30,25,1,9,34,4,24.444444444444443,27.666666666666668
2008,9,4,15,5,30,42,1,10,30,4.1,25,27.4
2008,10,20,15,5,30,25,1,11,46,4.181818181818182,25.454545454545453,28.727272727272727
2009,1,13,15,5,30,17,1,12,88,4.25,25.833333333333332,28.416666666666668
2009,2,9,15,5,30,25,1,13,26,4.3076923076923075,26.153846153846153,27.53846153846154
2009,3,26,15,5,30,15,1,14,47,4.357142857142857,26.428571428571427,27.357142857142858
2010,4,13,15,5,30,25,1,15,382,4.4,26.666666666666668,26.533333333333335
2010,5,11,15,5,30,31,1,16,28,4.4375,26.875,26.4375
2010,6,10,15,6,40,25,1,17,29,4.470588235294118,27.058823529411764,26.705882352941178
2010,7,15,15,6,50,30,1,18,35,4.555555555555555,27.77777777777778,26.61111111111111
2011,8,15,15,0,0,0,0,19,395,4.631578947368421,28.94736842105263,26.789473684210527
2007,4,19,18,1,10,0,1,0,0,0,0,0
2007,5,21,18,1,10,0,1,1,32,1,10,0
2007,6,21,18,1,10,0,1,2,30,1,10,0
2007,7,19,18,1,10,7,1,3,28,1,10,0
2007,10,18,18,2,15,0,1,4,89,1,10,1.75
2007,11,27,18,1,10,0,1,5,39,1.2,11,1.4
2008,1,15,18,1,10,9,1,6,53,1.1666666666666667,10.833333333333334,1.1666666666666667
2008,2,7,18,1,10,12,1,7,22,1.1428571428571428,10.714285714285714,2.2857142857142856
2008,4,1,18,1,10,28,1,8,54,1.125,10.625,3.5
2008,5,27,18,1,10,0,1,9,56,1.1111111111111112,10.555555555555555,6.222222222222222
2008,6,12,18,0,0,5,1,10,15,1.1,10.5,5.6
2008,7,29,18,0,0,5,1,11,47,1,9.545454545454545,5.545454545454546
2008,8,21,18,1,10,8,1,12,22,0.9166666666666666,8.75,5.5
2008,8,27,18,0,0,13,1,13,6,0.9230769230769231,8.846153846153847,5.6923076923076925
2008,9,11,18,1,10,15,1,14,14,0.8571428571428571,8.214285714285714,6.214285714285714
2008,10,13,18,1,10,6,1,15,32,0.8666666666666667,8.333333333333334,6.8
2008,10,23,18,1,10,8,1,16,10,0.875,8.4375,6.75
2008,11,20,18,1,10,3,1,17,27,0.8823529411764706,8.529411764705882,6.823529411764706
2008,12,16,18,1,10,2,1,18,26,0.8888888888888888,8.61111111111111,6.611111111111111
2009,2,9,18,1,10,1,1,19,58,0.8947368421052632,8.68421052631579,6.368421052631579
2009,4,1,18,1,10,0,1,20,52,0.9,8.75,6.1
2010,2,23,18,1,10,0,0,21,327,0.9047619047619048,8.80952380952381,5.809523809523809
2007,10,4,20,1,10,10,1,0,0,0,0,0
2007,11,27,20,1,10,2,1,1,53,1,10,10
2010,4,14,20,1,10,3,1,2,872,1,10,6
2010,5,20,20,2,15,4,1,3,36,1,10,5
2010,8,12,20,2,20,4,0,4,82,1.25,11.25,4.75
2007,6,19,21,1,10,6,1,0,0,0,0,0
2017,11,14,21,1,18,1,1,1,3795,1,10,6
2017,12,14,21,1,18,0,1,2,30,1,14,3.5
2018,5,15,21,1,18,0,1,3,156,1,15.333333333333334,2.3333333333333335
2018,6,12,21,1,18,0,1,4,27,1,16,1.75
2018,7,18,21,1,18,0,1,5,36,1,16.4,1.4
2018,8,29,21,1,18,0,1,6,41,1,16.666666666666668,1.1666666666666667
2018,11,14,21,1,18,0,1,7,75,1,16.857142857142858,1
2019,3,20,21,1,18,0,0,8,131,1,17,0.875
2008,10,23,23,2,15,7,1,0,0,0,0,0
2008,12,18,23,2,15,13,1,1,55,2,15,7
2009,1,22,23,2,15,12,1,2,39,2,15,10
2009,2,24,23,2,15,13,1,3,32,2,15,10.666666666666666
2009,3,24,23,2,15,6,1,4,30,2,15,11.25
2009,4,28,23,2,15,9,1,5,34,2,15,10.2
2009,5,26,23,2,15,9,1,6,28,2,15,10
2009,6,29,23,2,15,7,1,7,33,2,15,9.857142857142858
2009,10,21,23,2,15,10,1,8,112,2,15,9.5
2010,1,28,23,2,15,10,1,9,102,2,15,9.555555555555555
2010,3,3,23,2,15,0,1,10,35,2,15,9.6
2010,7,28,23,2,20,13,1,11,145,2,15,8.727272727272727
2010,11,18,23,2,20,4,1,12,110,2,15.416666666666666,9.083333333333334
2010,12,23,23,1,15,6,1,13,35,2,15.76923076923077,8.692307692307692
2011,1,31,23,2,20,8,1,14,43,1.9285714285714286,15.714285714285714,8.5
2011,3,8,23,2,20,5,1,15,37,1.9333333333333333,16,8.466666666666667
2011,4,25,23,2,20,3,1,16,47,1.9375,16.25,8.25
2011,6,16,23,2,20,10,1,17,51,1.9411764705882353,16.470588235294116,7.9411764705882355
2011,8,11,23,2,20,8,1,18,55,1.9444444444444444,16.666666666666668,8.055555555555555
2011,10,19,23,2,20,4,1,19,68,1.9473684210526316,16.842105263157894,8.052631578947368
2012,5,8,23,0,0,10,1,20,204,1.95,17,7.85
2012,7,2,23,2,20,10,1,21,54,1.8571428571428572,16.19047619047619,7.9523809523809526
2012,8,15,23,1,15,10,1,22,43,1.8636363636363635,16.363636363636363,8.045454545454545
2012,9,17,23,1,15,10,1,23,32,1.826086956521739,16.304347826086957,8.130434782608695
2013,3,27,23,1,15,10,1,24,195,1.7916666666666667,16.25,8.208333333333334
2013,5,14,23,0,0,14,1,25,47,1.76,16.2,8.28
2013,11,14,23,1,15,10,1,26,180,1.6923076923076923,15.576923076923077,8.5
2014,2,5,23,1,15,10,1,27,86,1.6666666666666667,15.555555555555555,8.555555555555555
2014,4,21,23,1,15,10,1,28,76,1.6428571428571428,15.535714285714286,8.607142857142858
2014,6,17,23,1,15,10,1,29,56,1.6206896551724137,15.517241379310345,8.655172413793103
2014,8,12,23,1,15,10,1,30,55,1.6,15.5,8.7
2014,10,9,23,1,15,10,1,31,57,1.5806451612903225,15.483870967741936,8.741935483870968
2015,4,13,23,1,15,3,1,32,189,1.5625,15.46875,8.78125
2016,4,20,23,1,15,7,1,33,372,1.5454545454545454,15.454545454545455,8.606060606060606
2016,11,28,23,1,15,4,0,34,218,1.5294117647058822,15.441176470588236,8.558823529411764
2007,8,14,29,0,0,6,1,0,0,0,0,0
2008,1,30,29,0,0,6,1,1,171,0,0,6
2008,6,24,29,0,0,9,1,2,144,0,0,6
2008,7,22,29,0,0,1,1,3,28,0,0,7
2008,7,31,29,0,0,0,1,4,9,0,0,5.5
2008,8,18,29,0,0,6,1,5,17,0,0,4.4
2008,12,29,29,0,0,15,1,6,131,0,0,4.666666666666667
2009,10,22,29,1,10,0,1,7,298,0,0,6.142857142857143
2009,11,23,29,0,0,1,1,8,31,0.125,1.25,5.375
2009,12,7,29,0,0,12,1,9,14,0.1111111111111111,1.1111111111111112,4.888888888888889
2009,12,23,29,0,0,5,1,10,16,0.1,1,5.6
2010,1,4,29,1,10,12,1,11,16,0.09090909090909091,0.9090909090909091,5.545454545454546
2010,2,17,29,0,0,0,1,12,43,0.16666666666666666,1.6666666666666667,6.083333333333333
2010,3,11,29,1,10,0,1,13,24,0.15384615384615385,1.5384615384615385,5.615384615384615
2010,4,21,29,1,10,0,1,14,40,0.21428571428571427,2.142857142857143,5.214285714285714
2010,10,20,29,3,25,9,1,15,179,0.26666666666666666,2.6666666666666665,4.866666666666666
2010,12,20,29,0,0,10,1,16,60,0.4375,4.0625,5.125
2011,3,15,29,1,15,0,1,17,90,0.4117647058823529,3.823529411764706,5.411764705882353
2011,5,2,29,1,15,9,1,18,47,0.4444444444444444,4.444444444444445,5.111111111111111
2011,7,28,29,1,15,0,1,19,86,0.47368421052631576,5,5.315789473684211
2011,9,14,29,1,15,0,1,20,46,0.5,5.5,5.05
2011,10,13,29,1,15,10,1,21,29,0.5238095238095238,5.9523809523809526,4.809523809523809
2011,11,29,29,0,0,10,1,22,46,0.5454545454545454,6.363636363636363,5.045454545454546
2012,1,11,29,3,25,9,1,23,47,0.5217391304347826,6.086956521739131,5.260869565217392
2012,2,15,29,1,15,10,1,24,34,0.625,6.875,5.416666666666667
2012,5,7,29,1,15,10,1,25,82,0.64,7.2,5.6
2012,12,20,29,7,60,18,1,26,223,0.6538461538461539,7.5,5.769230769230769
2013,3,21,29,6,50,10,1,27,96,0.8888888888888888,9.444444444444445,6.222222222222222
2013,7,17,29,1,15,10,1,28,116,1.0714285714285714,10.892857142857142,6.357142857142857
2013,9,4,29,1,15,5,1,29,47,1.0689655172413792,11.03448275862069,6.482758620689655
2013,10,21,29,1,15,10,1,30,47,1.0666666666666667,11.166666666666666,6.433333333333334
2014,3,25,29,1,15,0,1,31,159,1.064516129032258,11.290322580645162,6.548387096774194
2014,12,1,29,1,15,5,1,32,246,1.0625,11.40625,6.34375
2015,2,11,29,1,15,1,1,33,75,1.0606060606060606,11.515151515151516,6.303030303030303
2015,4,21,29,1,15,10,1,34,70,1.0588235294117647,11.617647058823529,6.147058823529412
2015,7,21,29,1,15,10,1,35,90,1.0571428571428572,11.714285714285714,6.257142857142857
2015,8,25,29,1,15,6,1,36,34,1.0555555555555556,11.805555555555555,6.361111111111111
2015,9,23,29,1,15,7,1,37,28,1.054054054054054,11.891891891891891,6.351351351351352
2015,11,16,29,1,15,10,1,38,53,1.0526315789473684,11.973684210526315,6.368421052631579
2016,2,25,29,1,15,9,1,39,104,1.0512820512820513,12.051282051282051,6.461538461538462
2016,3,23,29,1,15,7,1,40,28,1.05,12.125,6.525
2016,4,25,29,1,15,5,1,41,32,1.048780487804878,12.195121951219512,6.536585365853658
2016,6,30,29,1,15,6,1,42,65,1.0476190476190477,12.261904761904763,6.5
2016,8,30,29,1,15,6,1,43,60,1.0465116279069768,12.325581395348838,6.488372093023256
2016,9,21,29,1,15,8,1,44,21,1.0454545454545454,12.386363636363637,6.4772727272727275
2016,11,7,29,1,15,8,1,45,46,1.0444444444444445,12.444444444444445,6.511111111111111
2017,1,30,29,1,15,6,1,46,88,1.0434782608695652,12.5,6.543478260869565
2017,7,11,29,1,15,5,1,47,161,1.0425531914893618,12.553191489361701,6.531914893617022
2017,9,18,29,1,18,4,1,48,67,1.0416666666666667,12.604166666666666,6.5
2017,11,28,29,1,18,4,1,49,70,1.0408163265306123,12.714285714285714,6.448979591836735
2018,3,20,29,0,0,5,1,50,117,1.04,12.82,6.4
2018,7,3,29,1,148,5,1,51,103,1.0196078431372548,12.568627450980392,6.372549019607843
2018,8,28,29,1,18,4,1,52,55,1.0192307692307692,15.173076923076923,6.346153846153846
2019,6,13,29,1,18,5,0,53,290,1.0188679245283019,15.226415094339623,6.30188679245283
2007,7,31,30,2,15,15,1,0,0,0,0,0
2007,11,29,30,2,15,15,1,1,118,2,15,15
2008,2,26,30,2,15,12,1,2,92,2,15,15
2008,3,21,30,2,15,18,1,3,25,2,15,14
2008,4,10,30,2,15,8,1,4,19,2,15,15
2008,7,9,30,2,15,0,1,5,89,2,15,13.6
2008,12,11,30,2,15,16,1,6,152,2,15,11.333333333333334
2009,1,6,30,2,15,13,1,7,30,2,15,12
2009,3,5,30,0,0,18,1,8,59,2,15,12.125
2009,4,16,30,3,20,5,1,9,41,1.7777777777777777,13.333333333333334,12.777777777777779
2009,6,11,30,3,20,16,1,10,55,1.9,14,12
2009,6,23,30,0,0,19,1,11,12,2,14.545454545454545,12.363636363636363
2009,7,30,30,3,20,9,1,12,37,1.8333333333333333,13.333333333333334,12.916666666666666
2009,8,25,30,3,20,9,1,13,25,1.9230769230769231,13.846153846153847,12.615384615384615
2009,10,5,30,3,20,8,1,14,40,2,14.285714285714286,12.357142857142858
2009,10,19,30,0,0,14,1,15,14,2.066666666666667,14.666666666666666,12.066666666666666
2009,10,29,30,3,20,12,1,16,10,1.9375,13.75,12.1875
2010,2,18,30,3,20,10,1,17,114,2,14.117647058823529,12.176470588235293
2010,9,16,30,3,25,14,1,18,208,2.0555555555555554,14.444444444444445,12.055555555555555
2010,11,18,30,5,45,23,1,19,62,2.1052631578947367,15,12.157894736842104
2011,1,25,30,5,45,25,1,20,72,2.25,16.5,12.7
2011,3,21,30,5,45,7,1,21,56,2.380952380952381,17.857142857142858,13.285714285714286
2011,9,6,30,0,0,8,1,22,165,2.5,19.09090909090909,13
2011,10,18,30,1,15,10,1,23,42,2.391304347826087,18.26086956521739,12.782608695652174
2011,11,16,30,1,15,10,1,24,28,2.3333333333333335,18.125,12.666666666666666
2012,1,11,30,1,15,10,1,25,60,2.28,18,12.56
2012,2,23,30,1,15,9,1,26,42,2.230769230769231,17.884615384615383,12.461538461538462
2012,3,27,30,1,15,10,1,27,34,2.185185185185185,17.77777777777778,12.333333333333334
2012,4,30,30,1,15,10,1,28,33,2.142857142857143,17.678571428571427,12.25
2012,6,5,30,1,15,0,1,29,35,2.103448275862069,17.586206896551722,12.172413793103448
2012,7,5,30,2,20,15,1,30,30,2.066666666666667,17.5,11.766666666666667
2012,8,27,30,1,15,10,1,31,52,2.064516129032258,17.580645161290324,11.870967741935484
2012,10,17,30,1,15,10,1,32,50,2.03125,17.5,11.8125
2013,1,10,30,1,15,5,1,33,88,2,17.424242424242426,11.757575757575758
2013,11,18,30,1,15,15,1,34,308,1.9705882352941178,17.352941176470587,11.558823529411764
2017,3,6,30,4,30,11,1,35,1208,1.9428571428571428,17.285714285714285,11.657142857142857
2017,5,11,30,3,25,3,1,36,65,2,17.63888888888889,11.63888888888889
2019,3,5,30,3,28,1,0,37,664,2.027027027027027,17.83783783783784,11.405405405405405
2009,4,20,33,0,0,17,1,0,0,0,0,0
2009,6,23,33,2,15,8,1,1,63,0,0,17
2009,8,6,33,2,15,18,1,2,43,1,7.5,12.5
2009,10,14,33,2,15,20,1,3,68,1.3333333333333333,10,14.333333333333334
2010,3,17,33,2,15,12,1,4,158,1.5,11.25,15.75
2010,9,29,33,2,20,8,1,5,192,1.6,12,15
2011,1,4,33,2,20,15,1,6,100,1.6666666666666667,13.333333333333334,13.833333333333334
2012,6,19,33,1,15,0,1,7,530,1.7142857142857142,14.285714285714286,14
2012,12,19,33,2,20,6,1,8,180,1.625,14.375,12.25
2014,7,29,33,2,20,0,1,9,590,1.6666666666666667,15,11.555555555555555
2014,12,23,33,2,20,10,1,10,144,1.7,15.5,10.4
2017,11,16,33,2,19,6,1,11,1058,1.7272727272727273,15.909090909090908,10.363636363636363
2017,12,22,33,2,19,7,1,12,36,1.75,16.166666666666668,10
2018,2,16,33,2,19,3,1,13,59,1.7692307692307692,16.384615384615383,9.76923076923077
2018,5,21,33,2,19,7,1,14,95,1.7857142857142858,16.571428571428573,9.285714285714286
2018,6,8,33,2,19,7,1,15,17,1.8,16.733333333333334,9.133333333333333
2018,7,27,33,2,19,5,1,16,49,1.8125,16.875,9
2019,5,17,33,2,19,9,0,17,295,1.8235294117647058,17,8.764705882352942
2009,10,13,43,10,10,0,1,0,0,0,0,0
2012,6,6,43,1,15,0,0,1,968,10,10,0
2008,11,20,48,3,20,2,1,0,0,0,0,0
2015,10,15,48,1,15,10,1,1,2520,3,20,2
2017,2,13,48,1,15,6,0,2,488,2,17.5,6
2009,4,16,67,0,0,0,1,0,0,0,0,0
2009,8,17,67,3,20,8,1,1,121,0,0,0
2019,6,27,67,4,38,15,0,2,3600,1.5,10,4
2007,4,23,70,4,25,0,1,0,0,0,0,0
2007,6,12,70,4,25,0,1,1,49,4,25,0
2007,7,16,70,4,25,0,1,2,34,4,25,0
2007,8,20,70,5,30,0,1,3,34,4,25,0
2007,9,24,70,5,30,0,1,4,34,4.25,26.25,0
2007,11,26,70,5,30,0,1,5,62,4.4,27,0
2008,2,11,70,5,30,0,1,6,80,4.5,27.5,0
2008,3,11,70,5,30,0,1,7,30,4.571428571428571,27.857142857142858,0
2008,7,9,70,4,25,0,1,8,118,4.625,28.125,0
2008,8,11,70,4,25,0,1,9,32,4.555555555555555,27.77777777777778,0
2008,9,11,70,4,25,0,1,10,30,4.5,27.5,0
2008,10,9,70,4,25,0,1,11,28,4.454545454545454,27.272727272727273,0
2008,11,6,70,4,25,0,1,12,27,4.416666666666667,27.083333333333332,0
2008,11,11,70,4,25,10,1,13,5,4.384615384615385,26.923076923076923,0
2009,1,12,70,4,25,0,1,14,66,4.357142857142857,26.785714285714285,0.7142857142857143
2009,2,12,70,4,25,6,1,15,30,4.333333333333333,26.666666666666668,0.6666666666666666
2009,4,23,70,0,0,0,1,16,71,4.3125,26.5625,1
2009,5,21,70,4,25,0,1,17,28,4.0588235294117645,25,0.9411764705882353
2009,11,9,70,4,25,0,1,18,168,4.055555555555555,25,0.8888888888888888
2012,3,26,70,4,30,14,1,19,872,4.052631578947368,25,0.8421052631578947
2012,5,8,70,3,25,7,1,20,42,4.05,25.25,1.5
2012,8,27,70,30,5,0,0,21,109,4,25.238095238095237,1.7619047619047619
2007,5,8,72,0,0,10,1,0,0,0,0,0
2007,7,3,72,0,0,10,1,1,55,0,0,10
2007,11,13,72,0,0,7,1,2,130,0,0,10
2007,12,20,72,0,0,10,1,3,37,0,0,9
2008,2,19,72,0,0,9,1,4,64,0,0,9.25
2008,6,17,72,0,0,0,1,5,118,0,0,9.2
2008,7,15,72,0,0,10,1,6,28,0,0,7.666666666666667
2011,5,17,72,1,15,7,1,7,1037,0,0,8
2011,7,5,72,1,15,6,1,8,48,0.125,1.875,7.875
2011,7,6,72,0,0,1,1,9,1,0.2222222222222222,3.3333333333333335,7.666666666666667
2012,1,24,72,1,15,10,1,10,203,0.2,3,7
2012,3,13,72,1,15,8,1,11,49,0.2727272727272727,4.090909090909091,7.2727272727272725
2012,10,11,72,2,20,5,1,12,208,0.3333333333333333,5,7.333333333333333
2013,4,25,72,1,15,4,1,13,199,0.46153846153846156,6.153846153846154,7.153846153846154
2013,9,19,72,0,0,4,1,14,144,0.5,6.785714285714286,6.928571428571429
2013,10,29,72,1,15,7,1,15,40,0.4666666666666667,6.333333333333333,6.733333333333333
2013,11,25,72,1,15,1,1,16,26,0.5,6.875,6.75
2013,12,24,72,1,15,7,1,17,29,0.5294117647058824,7.352941176470588,6.411764705882353
2014,1,27,72,1,15,5,1,18,38,0.5555555555555556,7.777777777777778,6.444444444444445
2014,2,26,72,1,15,5,1,19,29,0.5789473684210527,8.157894736842104,6.368421052631579
2014,3,24,72,1,15,4,1,20,28,0.6,8.5,6.3
2014,4,21,72,1,15,3,1,21,27,0.6190476190476191,8.80952380952381,6.190476190476191
2014,5,27,72,1,15,3,1,22,36,0.6363636363636364,9.090909090909092,6.045454545454546
2014,7,29,72,1,15,7,1,23,62,0.6521739130434783,9.347826086956522,5.913043478260869
2014,8,28,72,1,15,7,1,24,29,0.6666666666666666,9.583333333333334,5.958333333333333
2014,9,29,72,1,15,5,1,25,31,0.68,9.8,6
2014,12,15,72,1,15,6,1,26,76,0.6923076923076923,10,5.961538461538462
2015,2,23,72,1,15,8,1,27,73,0.7037037037037037,10.185185185185185,5.962962962962963
2015,3,31,72,1,15,10,1,28,38,0.7142857142857143,10.357142857142858,6.035714285714286
2015,4,29,72,1,15,6,1,29,28,0.7241379310344828,10.517241379310345,6.172413793103448
2015,5,27,72,1,15,4,1,30,28,0.7333333333333333,10.666666666666666,6.166666666666667
2015,7,9,72,2,20,10,1,31,42,0.7419354838709677,10.806451612903226,6.096774193548387
2015,9,10,72,1,15,5,1,32,61,0.78125,11.09375,6.21875
2015,10,14,72,1,15,4,1,33,34,0.7878787878787878,11.212121212121213,6.181818181818182
